date,year,month,line_name,former_name,line_id,avg_daily_boardings,avg_daily_boardings_sat,avg_daily_boardings_sun,is_treatment,period
2010-06-01,2010,6,C Line,Green Line,green,43904.0,21071.0,18432.0,False,pre
2010-06-01,2010,6,E Line,Expo Line,expo,37270.0,22933.0,19661.0,False,pre
2010-07-01,2010,7,A Line,Blue Line,a_line,77545.0,54280.0,48850.0,False,pre
2010-07-01,2010,7,B Line,Red Line,red,154450.0,100390.0,80310.0,False,pre
2010-07-01,2010,7,C Line,Green Line,green,39900.0,21545.0,18350.0,False,pre
2010-07-01,2010,7,E Line,Expo Line,expo,34285.0,25371.0,22970.0,False,pre
2010-08-01,2010,8,A Line,Blue Line,a_line,81126.0,52018.0,49006.0,False,pre
2010-08-01,2010,8,B Line,Red Line,red,150435.0,101190.0,82843.0,False,pre
2010-08-01,2010,8,C Line,Green Line,green,41172.0,23094.0,17910.0,False,pre
2010-08-01,2010,8,E Line,Expo Line,expo,35247.0,24269.0,21157.0,False,pre
2010-09-01,2010,9,A Line,Blue Line,a_line,82542.0,52018.0,49006.0,False,pre
2010-09-01,2010,9,B Line,Red Line,red,148214.0,100936.0,81065.0,False,pre
2010-09-01,2010,9,C Line,Green Line,green,42273.0,24171.0,18303.0,False,pre
2010-09-01,2010,9,E Line,Expo Line,expo,35649.0,24195.0,19507.0,False,pre
2010-10-01,2010,10,A Line,Blue Line,a_line,77528.0,49469.0,43710.0,False,pre
2010-10-01,2010,10,B Line,Red Line,red,143174.0,93780.0,76831.0,False,pre
2010-10-01,2010,10,C Line,Green Line,green,40385.0,24079.0,17254.0,False,pre
2010-10-01,2010,10,E Line,Expo Line,expo,34440.0,21960.0,18495.0,False,pre
2010-11-01,2010,11,A Line,Blue Line,a_line,74832.0,47148.0,41133.0,False,pre
2010-11-01,2010,11,B Line,Red Line,red,136569.0,89148.0,73290.0,False,pre
2010-11-01,2010,11,C Line,Green Line,green,38706.0,22266.0,16457.0,False,pre
2010-11-01,2010,11,E Line,Expo Line,expo,33121.0,20816.0,17512.0,False,pre
2010-12-01,2010,12,A Line,Blue Line,a_line,71038.0,45028.0,35995.0,False,pre
2010-12-01,2010,12,B Line,Red Line,red,133099.0,83318.0,66532.0,False,pre
2010-12-01,2010,12,C Line,Green Line,green,35259.0,19836.0,14718.0,False,pre
2010-12-01,2010,12,E Line,Expo Line,expo,30804.0,19675.0,16834.0,False,pre
2011-01-01,2011,1,A Line,Blue Line,a_line,79709.0,49464.0,40998.0,False,pre
2011-01-01,2011,1,B Line,Red Line,red,143634.0,91154.0,68127.0,False,pre
2011-01-01,2011,1,C Line,Green Line,green,40891.0,24105.0,17405.0,False,pre
2011-01-01,2011,1,E Line,Expo Line,expo,33947.0,22705.0,22633.0,False,pre
2011-02-01,2011,2,A Line,Blue Line,a_line,80988.0,49378.0,44790.0,False,pre
2011-02-01,2011,2,B Line,Red Line,red,143387.0,94720.0,69863.0,False,pre
2011-02-01,2011,2,C Line,Green Line,green,40729.0,22887.0,19014.0,False,pre
